ImplementationVersion,FamilyKey,Family,ConfigurationID,Method,Backbone,InternalMethod,RatioKey,Ratio,Run,OuterFold,N_Train_Source,N_Train_Final,N_Real,N_Synthetic,N_Train_NonInteraction,N_Train_Interaction,Scaler_Fit_N,N_Validation,N_Test,Final_Train_Loss,Final_Train_Accuracy,Final_Val_Loss,Final_Val_Accuracy,Fit_Seconds,Status
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,10,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.0038068608846515417,0.9988692998886108,0.07157735526561737,0.9899343252182007,12.13175654411316,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,10,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.006079890765249729,0.9985410571098328,0.04446682706475258,0.9916849136352539,11.752640008926392,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,10,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0023975209333002567,0.9992340803146362,0.05593734607100487,0.9921225309371948,11.38172459602356,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,1,1,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0005604953621514142,0.9998677968978882,0.10003135353326797,0.9884755611419678,20.302775621414185,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,1,2,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0018682109657675028,0.999565601348877,0.06646280735731125,0.9884755611419678,21.200655460357666,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,1,3,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0016612515319138765,0.9995089173316956,0.06733324378728867,0.9893508553504944,20.629740953445435,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,1,4,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0008948148461058736,0.9997166991233826,0.05677526816725731,0.9921225309371948,20.32965850830078,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,1,5,27417,52946,27417,25529,26473,26473,27417,6855,8568,0.000719107745680958,0.9998300075531006,0.08225157111883163,0.9909555315971375,20.676290273666382,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,2,1,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0016862384509295225,0.9996411204338074,0.09625843167304993,0.9865791201591492,21.841874837875366,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,2,2,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0018865687306970358,0.9996222257614136,0.05091323330998421,0.9892049431800842,21.41341733932495,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,2,3,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0010704555315896869,0.9996978044509888,0.08019722998142242,0.9908096194267273,20.852229118347168,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,2,4,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0012942602625116706,0.9995278120040894,0.05337239429354668,0.9924142956733704,20.860963344573975,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,2,5,27417,52946,27417,25529,26473,26473,27417,6855,8568,0.001592002110555768,0.9994333982467651,0.07958651334047318,0.9884755611419678,20.6192729473114,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,3,1,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0026940449606627226,0.9992445111274719,0.08100297302007675,0.9884755611419678,20.516698122024536,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,3,2,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0021299326326698065,0.9995089173316956,0.06338804960250854,0.9899343252182007,21.552040815353394,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,3,3,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0016387120122089982,0.9995467066764832,0.06535211205482483,0.9908096194267273,20.60733127593994,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,3,4,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.00197994546033442,0.9993389248847961,0.06844542175531387,0.9921225309371948,20.52934503555298,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,3,5,27417,52946,27417,25529,26473,26473,27417,6855,8568,0.0024799376260489225,0.9992256164550781,0.06073276698589325,0.9868708848953247,20.473732709884644,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,4,1,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0024232780560851097,0.9994522333145142,0.09335874021053314,0.9880379438400269,20.685437202453613,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,4,2,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.003453330136835575,0.9990933537483215,0.05147615075111389,0.9903720021247864,21.107258081436157,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,4,3,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0017846720293164253,0.9994522333145142,0.05493010953068733,0.9900802373886108,20.24653124809265,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,4,4,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0025679036043584347,0.9993389248847961,0.06765186786651611,0.9927060604095459,20.719415187835693,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,4,5,27417,52946,27417,25529,26473,26473,27417,6855,8568,0.003805645275861025,0.9989801049232483,0.06250867992639542,0.9883297085762024,20.757645845413208,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,5,1,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0012364459689706564,0.9997166991233826,0.09445269405841827,0.9880379438400269,20.966996431350708,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,5,2,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.00185591378249228,0.9994900226593018,0.0735580176115036,0.9893508553504944,20.718605518341064,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,5,3,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.00246787560172379,0.9991122484207153,0.07434551417827606,0.9894967079162598,20.412971019744873,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,5,4,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.001717101433314383,0.9994900226593018,0.06275893747806549,0.9908096194267273,20.831230878829956,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,5,5,27417,52946,27417,25529,26473,26473,27417,6855,8568,0.002194815082475543,0.9993956089019775,0.08151350915431976,0.9906637668609619,20.692973852157593,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,6,1,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.002384001389145851,0.9993578195571899,0.07534678280353546,0.9897884726524353,20.679388523101807,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,6,2,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0009357738308608532,0.9996978044509888,0.07877491414546967,0.9878920316696167,21.350214958190918,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,6,3,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.0024821963161230087,0.9991878271102905,0.06192495673894882,0.9908096194267273,21.01672124862671,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__WGANGP__50_50,MSCMF (WGAN-GP),MSCMF,WGANGP,50_50,50/50,6,4,27417,52944,27417,25527,26472,26472,27417,6855,8568,0.002363653155043721,0.9993956089019775,0.05263061076402664,0.9905178546905518,20.635082721710205,PASS
